description,name,privilege_id,code,app_id,effective_start_date,effective_end_date
"Allows reviewing and registering business objects, such as sales leads and opportunities, intended for import from external files. Also allows creating and maintaining maps of external source file columns to target staging table columns for use in importing those business objects, such as sales leads, customers, contacts, and sales catalogs.",Set Up File Import Object and Mapping,300000139138934,ZCA_SET_UP_FILE_IMPORT_OBJECT_AND_MAPPING_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
"Allows verification of earning transaction detail for which the application calculated incentive compensation commission, bonus, or nonmonetary incentive.",Verify Incentive Compensation Transaction,300000139138931,CN_VERIFY_INCENTIVE_COMPENSATION_TRANSACTION_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
"Allows the automatic submission of the incentive compensation transaction collection batch, when a plan objectives assessment is submitted.",Submit Incentive Compensation Assessment Transaction Collection Batch,300000139138901,CN_MANAGE_INCENTIVE_COMPENSATION_ASSESSMENT_TRANSACTION_COLLECTION_BATCH_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows the submission of the tax audit trail report.,Run Tax Audit Trail Report,300000139138861,ZX_RUN_TAX_AUDIT_TRAIL_REPORT_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows access to import and export tax defaults and controls configuration data.,Manage Tax Defaults and Controls Import and Export Services,300000139138862,ZX_TAX_DEFAULTS_AND_CONTROLS_IMPORT_EXPORT_SERV_PRIV_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
"Allows users to manage procurement category hierarchies for catalog, agent assignments, and supplier products and services.",Manage Procurement Category Hierarchy,300000139138905,POR_MANAGE_PROCUREMENT_CATEGORY_HIERARCHY_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
,Select Trading Community Organization Contact as Primary,300000139138867,HZ_SELECT_TRADING_COMMUNITY_ORGANIZATION_CONTACT_AS_PRIMARY_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
"Allows submission of the Asset Additions report, which displays all the assets added or capitalized during the specified periods.",Submit Fixed Asset Additions Report,300000139138791,FA_SUBMIT_FIXED_ASSET_ADDITIONS_REPORT_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows creation of inventory transactions and validation of inventory transaction quantities using web service.,Create Inventory Transaction by Web Service,300000139138806,INV_CREATE_INVENTORY_TRANSACTION_WEB_SERVICE_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
PermissionSet to UPDATE for Quote_c WorkArea,UPDATE Quote_c (WorkArea),300000139138807,MOO_UPDATE_QUOTE_C_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
"Allows management of revenue items on the opportunity, including mass updating.",Manage Opportunity Revenue,300000139138830,MOO_MANAGE_OPPORTUNITY_REVENUE_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows the viewing of the contract type and its attributes from outside the application.,View Contract Type by Web Service,300000139138772,OKC_VIEW_CONTRACT_TYPE_BY_WEB_SERVICE_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
,Manage Trading Community Group Details,300000139138856,HZ_MANAGE_TRADING_COMMUNITY_GROUP_DETAILS_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows benefit professionals to manage benefit reporting groups.,Manage Benefit Reporting Group,300000139138859,BEN_MANAGE_BENEFIT_REPORTING_GROUP_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
,View Withholding Taxable Basis Formula,300000139138777,ZX_VIEW_WHT_TAXABLE_BASIS_FORMULA_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
"Allows promotion of workers during a periodic compensation cycle by changing their job, grade, or position.",Award Compensation Promotion by Line Manager,300000139138814,CMP_AWARD_COMPENSATION_PROMOTION_BY_LINE_MANAGER_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows configuration and management of plan import.,Manage Benefit configuration import,300000139138781,BEN_MANAGE_PLAN_COPY_IMPORT_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows viewing of the program by a partner.,Review Partner Program,300000139138839,ZPM_REVIEW_PARTNER_PROGRAM_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows updating the sales organization.,Update Sales Organization,300000139138819,ZCM_UPDATE_SALES_ORGANIZATION_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Enables viewing and applying of revenue recommendations. Revenue recommendations are using SPE to suggest adjustments to revenue based on similar opportunity historical data.,Manage Opportunity Revenue Recommendations,300000139142940,MOO_MANAGE_OPPORTUNITY_REVENUE_RECOMMENDATIONS_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows search of a contract template.,Search Contract Template,300000139142684,OKC_SEARCH_CONTRACT_TEMPLATE_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows the removal of persons.,Remove Trading Community Person,300000139142728,HZ_REMOVE_TRADING_COMMUNITY_PERSON_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows suppliers to create an online message.,Create Supplier Negotiation Online Message as Supplier,300000139142750,PON_CREATE_ONLINE_MESSAGE_SUPPLIER_FACING_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows access to check item data quality including data standardization.,Check Item Data Quality,300000139142987,EGI_CHECK_ITEM_DATA_QUALITY_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows viewing and submitting of all sales forecasts. Also includes the ability to submit and reject all child territories.,Manage Sales Forecast Participant,300000139142997,ZSF_MANAGE_SALES_FORECAST_PARTICIPANT_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows users to create a supplier qualification initiative.,Create Supplier Qualification Initiative,300000139142876,POQ_CREATE_SUPPLIER_QUALIFICATION_INITIATIVE_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
PermissionSet to UPDATE for StrategicAccountPlan_c WorkArea,UPDATE StrategicAccountPlan_c (WorkArea),300000139142988,HZ_UPDATE_STRATEGICACCOUNTPLAN_C_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
,Update Trading Community Organization Contact Preference,300000139142790,HZ_UPDATE_TRADING_COMMUNITY_ORGANIZATION_CONTACT_PREFERENCE_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows the support of Oracle Fusion search.,FSCM Fusion Search,300000139142811,FUN_FSCM_FUSION_SEARCH_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
